GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	ECO_ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	ASSIGNED BY	ANNOTATION EXTENSION
UniProtKB	A0A096SRM5	UGT708A6	enables	GO:0035251	UDP-glucosyltransferase activity	ECO:0000314	IDA	PMID:24045947		4577	UniProt	
UniProtKB	A0A096SRM5	UGT708A6	enables	GO:0047243	flavanone 7-O-beta-glucosyltransferase activity	ECO:0000314	IDA	PMID:24045947		4577	UniProt	
UniProtKB	A0A1D6GDY8	RH3A	involved_in	GO:0000373	Group II intron splicing	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A0A1D6LAB7	4577	UniProt	
UniProtKB	A0A1D6GDY8	RH3A	involved_in	GO:0009658	chloroplast organization	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A0A1D6LAB7	4577	UniProt	
UniProtKB	A0A1D6GDY8	RH3A	involved_in	GO:0042254	ribosome biogenesis	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:A0A1D6LAB7	4577	UniProt	
UniProtKB	A0A1D6IEG9	CRP1	enables	GO:0003729	mRNA binding	ECO:0000314	IDA	PMID:23735295		4577	UniProt	
UniProtKB	A0A1D6IEG9	CRP1	involved_in	GO:0045727	positive regulation of translation	ECO:0000315	IMP	PMID:8039510		4577	UniProt	
UniProtKB	A0A1D6IEG9	CRP1	part_of	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:10228173		4577	UniProt	
UniProtKB	A0A1D6JZU3	103634525	enables	GO:0004540	ribonuclease activity	ECO:0000314	IDA	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0009611	response to wounding	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0009617	response to bacterium	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0009620	response to fungus	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0009646	response to absence of light	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0009651	response to salt stress	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0009733	response to auxin	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0009735	response to cytokinin	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0009737	response to abscisic acid	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0009751	response to salicylic acid	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0009753	response to jasmonic acid	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0042542	response to hydrogen peroxide	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0046688	response to copper ion	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0050832	defense response to fungus	ECO:0000314	IDA	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	involved_in	GO:0050832	defense response to fungus	ECO:0000315	IMP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6JZU3	103634525	NOT|involved_in	GO:0009739	response to gibberellin	ECO:0000270	IEP	PMID:19682768		4577	AgBase	
UniProtKB	A0A1D6KL43	PSA2	enables	GO:0047134	protein-disulfide reductase activity	ECO:0000314	IDA	PMID:25228689		4577	UniProt	
UniProtKB	A0A1D6KL43	PSA2	involved_in	GO:0048564	photosystem I assembly	ECO:0000314	IDA	PMID:25228689		4577	UniProt	
UniProtKB	A0A1D6KL43	PSA2	part_of	GO:0031977	thylakoid lumen	ECO:0000314	IDA	PMID:25228689		4577	UniProt	
UniProtKB	A0A1D6L709	VP8	involved_in	GO:0010074	maintenance of meristem identity	ECO:0000315	IMP	PMID:18203869		4577	UniProt	
UniProtKB	A0A1D6L709	VP8	involved_in	GO:2000034	regulation of seed maturation	ECO:0000315	IMP	PMID:18203869		4577	UniProt	
UniProtKB	A0A1D6LAB7	RH3B	involved_in	GO:0000373	Group II intron splicing	ECO:0000315	IMP	PMID:22576849		4577	UniProt	
UniProtKB	A0A1D6LAB7	RH3B	involved_in	GO:0009658	chloroplast organization	ECO:0000315	IMP	PMID:22576849		4577	UniProt	
UniProtKB	A0A1D6LAB7	RH3B	involved_in	GO:0042254	ribosome biogenesis	ECO:0000315	IMP	PMID:22576849		4577	UniProt	
UniProtKB	A0A1D6LAB7	RH3B	part_of	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:22576849		4577	UniProt	
UniProtKB	A0A1D6LAG9	CPS1	involved_in	GO:0006417	regulation of translation	ECO:0000315	IMP	PMID:12271069		4577	UniProt	
UniProtKB	A0A1D6LAG9	CPS1	part_of	GO:0009507	chloroplast	ECO:0000314	IDA	PMID:12271069		4577	UniProt	
UniProtKB	A0A1D6N272	GRMZM2G124911	enables	GO:0090422	thiamine pyrophosphate transporter activity	ECO:0000314	IDA	PMID:22426856		4577	UniProt	
UniProtKB	A0A1D6N272	GRMZM2G124911	involved_in	GO:0030974	thiamine pyrophosphate transport	ECO:0000314	IDA	PMID:22426856		4577	UniProt	
UniProtKB	A0A1D6N272	GRMZM2G124911	part_of	GO:0005739	mitochondrion	ECO:0000314	IDA	PMID:22426856		4577	UniProt	
UniProtKB	A1XCI1	LOX6	enables	GO:0016832	aldehyde-lyase activity	ECO:0000314	IDA	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI1	LOX6	involved_in	GO:0009620	response to fungus	ECO:0000270	IEP	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI1	LOX6	involved_in	GO:0009723	response to ethylene	ECO:0000270	IEP	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI1	LOX6	involved_in	GO:0009737	response to abscisic acid	ECO:0000270	IEP	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI1	LOX6	involved_in	GO:0009751	response to salicylic acid	ECO:0000270	IEP	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI1	LOX6	involved_in	GO:0009753	response to jasmonic acid	ECO:0000270	IEP	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI1	LOX6	involved_in	GO:0042758	long-chain fatty acid catabolic process	ECO:0000314	IDA	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI1	LOX6	NOT|enables	GO:0016165	linoleate 13S-lipoxygenase activity	ECO:0000314	IDA	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI1	LOX6	part_of	GO:0009570	chloroplast stroma	ECO:0000314	IDA	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI5	LOX10	enables	GO:0005506	iron ion binding	ECO:0000245	RCA	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	enables	GO:0016165	linoleate 13S-lipoxygenase activity	ECO:0000314	IDA	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	enables	GO:0016165	linoleate 13S-lipoxygenase activity	ECO:0000304	TAS	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0007623	circadian rhythm	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0007623	circadian rhythm	ECO:0000304	TAS	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009409	response to cold	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009409	response to cold	ECO:0000304	TAS	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009611	response to wounding	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009611	response to wounding	ECO:0000304	TAS	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009620	response to fungus	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009620	response to fungus	ECO:0000304	TAS	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009723	response to ethylene	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009737	response to abscisic acid	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009737	response to abscisic acid	ECO:0000304	TAS	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009751	response to salicylic acid	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009751	response to salicylic acid	ECO:0000304	TAS	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009753	response to jasmonic acid	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0009753	response to jasmonic acid	ECO:0000304	TAS	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0010597	green leaf volatile biosynthetic process	ECO:0000304	TAS	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	involved_in	GO:0031408	oxylipin biosynthetic process	ECO:0000305	IC	PMID:17922288	GO:0016165	4577	AgBase	
UniProtKB	A1XCI5	LOX10	NOT|involved_in	GO:0009695	jasmonic acid biosynthetic process	ECO:0000304	TAS	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI5	LOX10	part_of	GO:0009507	chloroplast	ECO:0000304	TAS	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI6	LOX11	enables	GO:0005506	iron ion binding	ECO:0000245	RCA	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI6	LOX11	involved_in	GO:0009737	response to abscisic acid	ECO:0000270	IEP	PMID:17005920		4577	AgBase	
UniProtKB	A1XCI6	LOX11	involved_in	GO:0009737	response to abscisic acid	ECO:0000304	TAS	PMID:17922288		4577	AgBase	
UniProtKB	A1XCI6	LOX11	involved_in	GO:0010597	green leaf volatile biosynthetic process	ECO:0000304	TAS	PMID:17005920		4577	AgBase	
